obs_key,source,project,site,obs_time,year,longitude,latitude,sampledarea_ha,nplots,agb_drymass_ha,agb_ha_rederived,verify_ratio,verify_status,bgb_drymass_ha,live_basal_area_ha,live_tree_density_ha,n_stems,n_species,mean_dbh_cm,mean_ht_m,n_allom_models
11599804_03367678_20140415_000000,Department of Parks and Wildlife (WA),SouthWestForests-IRIS-DEV,C06-027097,2014-04-15,2014,115.998,-33.6768,0.1257,1,142.1074,,,no_stem_data,42.1377,46.0838,477.0,,,,,
11600198_03368167_20140415_000000,Department of Parks and Wildlife (WA),SouthWestForests-IRIS-DEV,C06-029175,2014-04-15,2014,116.002,-33.6817,0.1257,1,50.5747,,,no_stem_data,15.6064,32.1195,279.0,,,,,
11601348_03315699_20140215_000000,Department of Parks and Wildlife (WA),SouthWestForests-IRIS-DEV,C03-015383,2014-02-15,2014,116.0135,-33.157,0.1257,1,140.7857,,,no_stem_data,42.4365,21.3103,549.0,,,,,
11603703_03336484_20140215_000000,Department of Parks and Wildlife (WA),SouthWestForests-IRIS-DEV,C05-038286,2014-02-15,2014,116.037,-33.3648,0.1257,1,69.8516,,,no_stem_data,19.9549,24.0591,485.0,,,,,
11605026_03296565_20140215_000000,Department of Parks and Wildlife (WA),SouthWestForests-IRIS-DEV,C01-043048,2014-02-15,2014,116.0503,-32.9656,0.1257,1,213.9436,,,no_stem_data,66.8345,47.1022,1369.0,,,,,
11605747_03338039_20140215_000000,Department of Parks and Wildlife (WA),SouthWestForests-IRIS-DEV,C05-097335,2014-02-15,2014,116.0575,-33.3804,0.1257,1,85.4394,,,no_stem_data,27.4124,21.2553,414.0,,,,,
11606120_03268199_20140703_000000,Department of Parks and Wildlife (WA),SouthWestForests-IRIS-DEV,N07-070139,2014-07-03,2014,116.0612,-32.682,0.1257,1,618.9039,,,no_stem_data,180.5183,41.51,772.0,,,,,
11606129_03268720_20141020_000000,Department of Parks and Wildlife (WA),SouthWestForests-IRIS-DEV,U02-017933,2014-10-20,2014,116.0613,-32.6872,0.1257,1,233.1727,,,no_stem_data,71.4099,25.1306,382.0,,,,,
11606347_03336448_20140215_000000,Department of Parks and Wildlife (WA),SouthWestForests-IRIS-DEV,C05-038281,2014-02-15,2014,116.0635,-33.3645,0.1257,1,65.6842,,,no_stem_data,19.8175,30.2802,223.0,,,,,
11606652_03269626_20141220_000000,Department of Parks and Wildlife (WA),SouthWestForests-IRIS-DEV,U02-018211,2014-12-20,2014,116.0665,-32.6963,0.1257,1,1174.7862,,,no_stem_data,356.4227,42.75,565.0,,,,,
11609437_03293940_20140515_000000,Department of Parks and Wildlife (WA),SouthWestForests-IRIS-DEV,C01-037174,2014-05-15,2014,116.0944,-32.9394,0.1257,1,65.1138,,,no_stem_data,20.0588,21.7438,271.0,,,,,
11612091_03295648_20140715_000000,Department of Parks and Wildlife (WA),SouthWestForests-IRIS-DEV,C01-041086,2014-07-15,2014,116.1209,-32.9565,0.1257,1,57.4335,,,no_stem_data,17.0269,25.6091,199.0,,,,,
11612358_03293910_20140715_000000,Department of Parks and Wildlife (WA),SouthWestForests-IRIS-DEV,C01-037169,2014-07-15,2014,116.1236,-32.9391,0.1257,1,48.4936,,,no_stem_data,15.6204,57.0865,605.0,,,,,
11613170_03281301_20140716_000000,Department of Parks and Wildlife (WA),SouthWestForests-IRIS-DEV,N07-043435,2014-07-16,2014,116.1317,-32.813,0.1257,1,471.3592,,,no_stem_data,166.5878,36.6075,629.0,,,,,
11617752_03230848_20140708_000000,Department of Parks and Wildlife (WA),SouthWestForests-IRIS-DEV,N04-044275,2014-07-08,2014,116.1775,-32.3085,0.1257,1,1109.3013,,,no_stem_data,342.5942,33.1387,716.0,,,,,
11619702_03234301_20140630_000000,Department of Parks and Wildlife (WA),SouthWestForests-IRIS-DEV,N04-014127,2014-06-30,2014,116.197,-32.343,0.1257,1,68.1094,,,no_stem_data,22.0063,42.9456,732.0,,,,,
11620843_03469495_20140815_000000,Department of Parks and Wildlife (WA),SouthWestForests-IRIS-DEV,U01-005827,2014-08-15,2014,116.2084,-34.6949,0.1257,1,504.2429,,,no_stem_data,165.7225,46.4426,589.0,,,,,
11625455_03367049_20140915_000000,Department of Parks and Wildlife (WA),SouthWestForests-IRIS-DEV,C06-025047,2014-09-15,2014,116.2546,-33.6705,0.1257,1,153.5497,,,no_stem_data,45.7852,40.9338,597.0,,,,,
11625792_03367028_20140815_000000,Department of Parks and Wildlife (WA),SouthWestForests-IRIS-DEV,C11-038090,2014-08-15,2014,116.2579,-33.6703,0.1257,1,58.4885,,,no_stem_data,18.8278,29.8423,660.0,,,,,
11625801_03272881_20140613_000000,Department of Parks and Wildlife (WA),SouthWestForests-IRIS-DEV,N07-061347,2014-06-13,2014,116.258,-32.7288,0.1257,1,704.6266,,,no_stem_data,214.2379,42.5869,477.0,,,,,
11627844_03348734_20140615_000000,Department of Parks and Wildlife (WA),SouthWestForests-IRIS-DEV,U02-031143,2014-06-15,2014,116.2784,-33.4873,0.1257,1,1539.636,,,no_stem_data,441.5824,25.8798,573.0,,,,,
11628625_03275923_20140813_000000,Department of Parks and Wildlife (WA),SouthWestForests-IRIS-DEV,N07-055144,2014-08-13,2014,116.2862,-32.7592,0.1257,1,72.5013,,,no_stem_data,22.6642,20.7319,374.0,,,,,
11634641_03293669_20140731_000000,Department of Parks and Wildlife (WA),SouthWestForests-IRIS-DEV,N07-016379,2014-07-31,2014,116.3464,-32.9367,0.1257,1,264.958,,,no_stem_data,94.5322,37.4644,501.0,,,,,
11636760_03419311_20140101_000000,Department of Parks and Wildlife (WA),SouthWestForests-IRIS-PRD,S03-064209,2014-01-01,2014,116.3676,-34.1931,0.1257,1,1537.0728,,,no_stem_data,405.4893,27.733,565.0,,,,,
11639060_03311503_20140415_000000,Department of Parks and Wildlife (WA),SouthWestForests-IRIS-DEV,C02-038101,2014-04-15,2014,116.3906,-33.115,0.1257,1,47.9522,,,no_stem_data,14.4312,30.2118,207.0,,,,,
11641820_03334707_20140415_000000,Department of Parks and Wildlife (WA),SouthWestForests-IRIS-DEV,C04-033159,2014-04-15,2014,116.4182,-33.3471,0.1257,1,45.7052,,,no_stem_data,14.5942,36.8709,414.0,,,,,
11642461_03303475_20140915_000000,Department of Parks and Wildlife (WA),SouthWestForests-IRIS-DEV,C02-065027,2014-09-15,2014,116.4246,-33.0347,0.1257,1,38.7283,,,no_stem_data,12.1312,32.8676,318.0,,,,,
11644604_03345140_20140915_000000,Department of Parks and Wildlife (WA),SouthWestForests-IRIS-DEV,U02-041701,2014-09-15,2014,116.446,-33.4514,0.1257,1,609.2518,,,no_stem_data,165.2663,29.8307,167.0,,,,,
11647568_03343651_20140915_000000,Department of Parks and Wildlife (WA),SouthWestForests-IRIS-DEV,C04-053020,2014-09-15,2014,116.4757,-33.4365,0.1257,1,32.5833,,,no_stem_data,10.3811,14.7907,247.0,,,,,
11648631_03433766_20140501_000000,Department of Parks and Wildlife (WA),SouthWestForests-IRIS-PRD,S04-027325,2014-05-01,2014,116.4863,-34.3377,0.1257,1,556.1116,,,no_stem_data,145.6191,30.5968,310.0,,,,,
11650782_03299875_20140301_000000,Department of Parks and Wildlife (WA),SouthWestForests-IRIS-PRD,U02-099999,2014-03-01,2014,116.5078,-32.9988,0.1257,1,41.1009,,,no_stem_data,11.4224,33.4232,263.0,,,,,
11650782_03299875_20140315_000000,Department of Parks and Wildlife (WA),SouthWestForests-IRIS-DEV,U02-000001,2014-03-15,2014,116.5078,-32.9988,0.1257,1,155.4199,,,no_stem_data,54.2829,22.9257,151.0,,,,,
11661331_03459018_20140215_000000,Department of Parks and Wildlife (WA),SouthWestForests-IRIS-DEV,S05-028442,2014-02-15,2014,116.6133,-34.5902,0.1257,1,2051.5402,,,no_stem_data,591.3298,44.3534,573.0,,,,,
14247208_03463481_20150101_000000,Forestry Corporation Commercial Estate (NSW),NFSI_RG,313,2015-01-01,2015,142.4721,-34.6348,0.1,1,7.5956,,,no_stem_data,2.3043,23.8931,40.0,,,,,
14261690_03477653_20150101_000000,Forestry Corporation Commercial Estate (NSW),NFSI_RG,283,2015-01-01,2015,142.6169,-34.7765,0.1,1,4.3601,,,no_stem_data,1.4426,1.5349,60.0,,,,,
14283042_03457417_20150101_000000,Forestry Corporation Commercial Estate (NSW),NFSI_RG,327,2015-01-01,2015,142.8304,-34.5742,0.1,1,2.4321,,,no_stem_data,0.7392,9.0594,10.0,,,,,
14292816_03465092_20150101_000000,Forestry Corporation Commercial Estate (NSW),NFSI_RG,315,2015-01-01,2015,142.9282,-34.6509,0.1,1,2.6093,,,no_stem_data,0.8242,1.2231,20.0,,,,,
14296521_03467307_20150101_000000,Forestry Corporation Commercial Estate (NSW),NFSI_RG,309,2015-01-01,2015,142.9652,-34.6731,0.1,1,102.3893,,,no_stem_data,29.2833,45.9267,210.0,,,,,
14309427_03462489_20150101_000000,Forestry Corporation Commercial Estate (NSW),NFSI_RG,321,2015-01-01,2015,143.0943,-34.6249,0.1,1,51.6034,,,no_stem_data,14.4709,11.2475,90.0,,,,,
14313227_03462617_20150101_000000,Forestry Corporation Commercial Estate (NSW),NFSI_RG,323,2015-01-01,2015,143.1323,-34.6262,0.1,1,80.6875,,,no_stem_data,22.5663,5.1374,140.0,,,,,
14313278_03461561_20150101_000000,Forestry Corporation Commercial Estate (NSW),NFSI_RG,325,2015-01-01,2015,143.1328,-34.6156,0.1,1,209.6283,,,no_stem_data,58.7718,20.7044,360.0,,,,,
14316985_03463779_20150101_000000,Forestry Corporation Commercial Estate (NSW),NFSI_RG,319,2015-01-01,2015,143.1699,-34.6378,0.1,1,99.0728,,,no_stem_data,27.8524,16.0946,260.0,,,,,
14318204_03464866_20150101_000000,Forestry Corporation Commercial Estate (NSW),NFSI_RG,317,2015-01-01,2015,143.182,-34.6487,0.1,1,3.4911,,,no_stem_data,1.089,0.848,20.0,,,,,
14322845_03474452_20150101_000000,Forestry Corporation Commercial Estate (NSW),NFSI_RG,295,2015-01-01,2015,143.2285,-34.7445,0.1,1,48.1634,,,no_stem_data,13.9075,17.3147,140.0,,,,,
14325620_03469290_20150101_000000,Forestry Corporation Commercial Estate (NSW),NFSI_RG,303,2015-01-01,2015,143.2562,-34.6929,0.1,1,4.7538,,,no_stem_data,1.3706,0.1267,10.0,,,,,
14326552_03476668_20150101_000000,Forestry Corporation Commercial Estate (NSW),NFSI_RG,291,2015-01-01,2015,143.2655,-34.7667,0.1,1,42.4485,,,no_stem_data,12.3556,10.398,110.0,,,,,
14327734_03478802_20150101_000000,Forestry Corporation Commercial Estate (NSW),NFSI_RG,287,2015-01-01,2015,143.2773,-34.788,0.1,1,159.9839,,,no_stem_data,45.4851,30.8601,400.0,,,,,
14328108_03470417_20150101_000000,Forestry Corporation Commercial Estate (NSW),NFSI_RG,299,2015-01-01,2015,143.2811,-34.7042,0.1,1,56.8576,,,no_stem_data,16.2986,8.5512,140.0,,,,,
14329052_03477788_20150101_000000,Forestry Corporation Commercial Estate (NSW),NFSI_RG,289,2015-01-01,2015,143.2905,-34.7779,0.1,1,157.6192,,,no_stem_data,44.4828,4.5723,290.0,,,,,
14330365_03476784_20150101_000000,Forestry Corporation Commercial Estate (NSW),NFSI_RG,293,2015-01-01,2015,143.3037,-34.7678,0.1,1,33.745,,,no_stem_data,9.4838,7.7446,60.0,,,,,
14330603_03471540_20150101_000000,Forestry Corporation Commercial Estate (NSW),NFSI_RG,297,2015-01-01,2015,143.306,-34.7154,0.1,1,3.0158,,,no_stem_data,0.9516,4.4249,20.0,,,,,
14335077_03485311_20150101_000000,Forestry Corporation Commercial Estate (NSW),NFSI_RG,275,2015-01-01,2015,143.3508,-34.8531,0.1,1,106.8844,,,no_stem_data,29.7429,21.4196,160.0,,,,,
14336528_03481158_20150101_000000,Forestry Corporation Commercial Estate (NSW),NFSI_RG,281,2015-01-01,2015,143.3653,-34.8116,0.1,1,14.0584,,,no_stem_data,4.4662,11.741,110.0,,,,,
14337571_03486439_20150101_000000,Forestry Corporation Commercial Estate (NSW),NFSI_RG,271,2015-01-01,2015,143.3757,-34.8644,0.1,1,32.5774,,,no_stem_data,10.8453,6.2622,310.0,,,,,
14337661_03484342_20150101_000000,Forestry Corporation Commercial Estate (NSW),NFSI_RG,279,2015-01-01,2015,143.3766,-34.8434,0.1,1,23.0002,,,no_stem_data,7.0825,5.4688,170.0,,,,,
14338258_03470719_20150101_000000,Forestry Corporation Commercial Estate (NSW),NFSI_RG,301,2015-01-01,2015,143.3826,-34.7072,0.1,1,23.1004,,,no_stem_data,6.8314,15.2842,70.0,,,,,
14339569_03469716_20150101_000000,Forestry Corporation Commercial Estate (NSW),NFSI_RG,305,2015-01-01,2015,143.3957,-34.6972,0.1,1,6.1528,,,no_stem_data,1.7382,0.4011,10.0,,,,,
14340065_03487559_20150101_000000,Forestry Corporation Commercial Estate (NSW),NFSI_RG,269,2015-01-01,2015,143.4007,-34.8756,0.1,1,38.7792,,,no_stem_data,11.752,21.2568,220.0,,,,,
14340163_03485462_20150101_000000,Forestry Corporation Commercial Estate (NSW),NFSI_RG,277,2015-01-01,2015,143.4016,-34.8546,0.1,1,64.0752,,,no_stem_data,16.0809,1.0969,50.0,,,,,
14341384_03486552_20150101_000000,Forestry Corporation Commercial Estate (NSW),NFSI_RG,273,2015-01-01,2015,143.4138,-34.8655,0.1,1,118.2721,,,no_stem_data,34.1639,10.7266,320.0,,,,,
14342107_03469787_20150101_000000,Forestry Corporation Commercial Estate (NSW),NFSI_RG,307,2015-01-01,2015,143.4211,-34.6979,0.1,1,85.2062,,,no_stem_data,23.6632,14.914,140.0,,,,,
14342563_03488679_20150101_000000,Forestry Corporation Commercial Estate (NSW),NFSI_RG,267,2015-01-01,2015,143.4256,-34.8868,0.1,1,20.4533,,,no_stem_data,5.9002,3.4058,40.0,,,,,
14344731_03467771_20150101_000000,Forestry Corporation Commercial Estate (NSW),NFSI_RG,311,2015-01-01,2015,143.4473,-34.6777,0.1,1,59.2251,,,no_stem_data,16.825,21.9175,120.0,,,,,
14345019_03490850_20150101_000000,Forestry Corporation Commercial Estate (NSW),NFSI_RG,265,2015-01-01,2015,143.4502,-34.9085,0.1,1,16.9513,,,no_stem_data,4.9368,9.5888,40.0,,,,,
14360414_03456678_20150101_000000,Forestry Corporation Commercial Estate (NSW),NFSI_RG,329,2015-01-01,2015,143.6041,-34.5668,0.1,1,25.5432,,,no_stem_data,7.2672,6.4819,50.0,,,,,
14361728_03455660_20150101_000000,Forestry Corporation Commercial Estate (NSW),NFSI_RG,333,2015-01-01,2015,143.6173,-34.5566,0.1,1,20.392,,,no_stem_data,5.8491,9.4251,70.0,,,,,
14371134_03442283_20150101_000000,Forestry Corporation Commercial Estate (NSW),NFSI_RG,337,2015-01-01,2015,143.7113,-34.4228,0.1,1,61.5463,,,no_stem_data,17.6396,10.2266,140.0,,,,,
14371178_03441239_20150101_000000,Forestry Corporation Commercial Estate (NSW),NFSI_RG,339,2015-01-01,2015,143.7118,-34.4124,0.1,1,30.58,,,no_stem_data,8.8184,4.167,80.0,,,,,
14373839_03438157_20150101_000000,Forestry Corporation Commercial Estate (NSW),NFSI_RG,345,2015-01-01,2015,143.7384,-34.3816,0.1,1,155.0302,,,no_stem_data,42.9136,13.4614,270.0,,,,,
14373950_03435013_20150101_000000,Forestry Corporation Commercial Estate (NSW),NFSI_RG,359,2015-01-01,2015,143.7395,-34.3501,0.1,1,120.0354,,,no_stem_data,31.7382,11.5225,150.0,,,,,
14375131_03437140_20150101_000000,Forestry Corporation Commercial Estate (NSW),NFSI_RG,349,2015-01-01,2015,143.7513,-34.3714,0.1,1,3.4092,,,no_stem_data,1.0934,2.1285,30.0,,,,,
14375173_03436097_20150101_000000,Forestry Corporation Commercial Estate (NSW),NFSI_RG,353,2015-01-01,2015,143.7517,-34.361,0.1,1,60.9467,,,no_stem_data,16.1814,26.1769,50.0,,,,,
14375307_03432949_20150101_000000,Forestry Corporation Commercial Estate (NSW),NFSI_RG,375,2015-01-01,2015,143.7531,-34.3295,0.1,1,70.1183,,,no_stem_data,19.676,8.7016,150.0,,,,,
14375376_03430856_20150101_000000,Forestry Corporation Commercial Estate (NSW),NFSI_RG,385,2015-01-01,2015,143.7538,-34.3086,0.1,1,195.2932,,,no_stem_data,54.2115,9.7751,380.0,,,,,
14376358_03438226_20150101_000000,Forestry Corporation Commercial Estate (NSW),NFSI_RG,347,2015-01-01,2015,143.7636,-34.3823,0.1,1,37.5404,,,no_stem_data,10.1511,13.5165,70.0,,,,,
14377900_03430921_20150101_000000,Forestry Corporation Commercial Estate (NSW),NFSI_RG,387,2015-01-01,2015,143.779,-34.3092,0.1,1,15.0468,,,no_stem_data,4.2653,2.5626,30.0,,,,,
14379208_03429905_20150101_000000,Forestry Corporation Commercial Estate (NSW),NFSI_RG,389,2015-01-01,2015,143.7921,-34.2991,0.1,1,52.2593,,,no_stem_data,13.9901,16.986,50.0,,,,,
14380351_03433078_20150101_000000,Forestry Corporation Commercial Estate (NSW),NFSI_RG,377,2015-01-01,2015,143.8035,-34.3308,0.1,1,16.5158,,,no_stem_data,4.6881,8.3441,30.0,,,,,
14382917_03432100_20150101_000000,Forestry Corporation Commercial Estate (NSW),NFSI_RG,383,2015-01-01,2015,143.8292,-34.321,0.1,1,4.4631,,,no_stem_data,1.2931,6.9693,10.0,,,,,
14399699_03551800_20150101_000000,Forestry Corporation Commercial Estate (NSW),NFSI_RG,403,2015-01-01,2015,143.997,-35.518,0.1,1,116.0057,,,no_stem_data,32.0117,71.8284,240.0,,,,,
14399995_03554232_20150101_000000,Forestry Corporation Commercial Estate (NSW),NFSI_RG,251,2015-01-01,2015,144.0,-35.5423,0.1,1,182.1658,,,no_stem_data,52.6777,37.3842,510.0,,,,,
14400113_03551087_20150101_000000,Forestry Corporation Commercial Estate (NSW),NFSI_RG,263,2015-01-01,2015,144.0011,-35.5109,0.1,1,183.6912,,,no_stem_data,49.6065,11.0051,250.0,,,,,
14401319_03553220_20150101_000000,Forestry Corporation Commercial Estate (NSW),NFSI_RG,257,2015-01-01,2015,144.0132,-35.5322,0.1,1,87.7518,,,no_stem_data,26.2814,30.2802,460.0,,,,,
14402133_03553334_20150101_000000,Forestry Corporation Commercial Estate (NSW),NFSI_RG,406,2015-01-01,2015,144.0213,-35.5333,0.1,1,37.9823,,,no_stem_data,11.3347,64.4792,180.0,,,,,
14402518_03555344_20150101_000000,Forestry Corporation Commercial Estate (NSW),NFSI_RG,245,2015-01-01,2015,144.0252,-35.5534,0.1,1,70.1739,,,no_stem_data,21.6688,27.463,500.0,,,,,
14402560_03554297_20150101_000000,Forestry Corporation Commercial Estate (NSW),NFSI_RG,253,2015-01-01,2015,144.0256,-35.543,0.1,1,251.0461,,,no_stem_data,72.2062,43.2394,770.0,,,,,
14402638_03552203_20150101_000000,Forestry Corporation Commercial Estate (NSW),NFSI_RG,261,2015-01-01,2015,144.0264,-35.522,0.1,1,57.2382,,,no_stem_data,16.1192,1.9576,100.0,,,,,
14403880_03553280_20150101_000000,Forestry Corporation Commercial Estate (NSW),NFSI_RG,259,2015-01-01,2015,144.0388,-35.5328,0.1,1,64.6375,,,no_stem_data,17.8569,8.5059,100.0,,,,,
14405122_03554363_20150101_000000,Forestry Corporation Commercial Estate (NSW),NFSI_RG,255,2015-01-01,2015,144.0512,-35.5436,0.1,1,309.7853,,,no_stem_data,86.421,27.0444,500.0,,,,,
14406365_03555439_20150101_000000,Forestry Corporation Commercial Estate (NSW),NFSI_RG,247,2015-01-01,2015,144.0637,-35.5544,0.1,1,126.7343,,,no_stem_data,36.8383,25.1644,310.0,,,,,
14407625_03556514_20150101_000000,Forestry Corporation Commercial Estate (NSW),NFSI_RG,239,2015-01-01,2015,144.0763,-35.5651,0.1,1,32.5776,,,no_stem_data,9.6368,12.7996,160.0,,,,,
14408583_03421197_20150101_000000,Forestry Corporation Commercial Estate (NSW),NFSI_RG,391,2015-01-01,2015,144.0858,-34.212,0.1,1,8.0488,,,no_stem_data,2.5469,19.5028,60.0,,,,,
14408849_03557598_20150101_000000,Forestry Corporation Commercial Estate (NSW),NFSI_RG,235,2015-01-01,2015,144.0885,-35.576,0.1,1,137.4654,,,no_stem_data,40.1385,17.5321,650.0,,,,,
14409747_03558244_20150101_000000,Forestry Corporation Commercial Estate (NSW),NFSI_RG,407,2015-01-01,2015,144.0975,-35.5824,0.1,1,84.3898,,,no_stem_data,24.4694,54.3265,320.0,,,,,
14414030_03556667_20150101_000000,Forestry Corporation Commercial Estate (NSW),NFSI_RG,241,2015-01-01,2015,144.1403,-35.5667,0.1,1,2.3719,,,no_stem_data,0.8236,19.2273,40.0,,,,,
14417729_03560960_20150101_000000,Forestry Corporation Commercial Estate (NSW),NFSI_RG,215,2015-01-01,2015,144.1773,-35.6096,0.1,1,7.7907,,,no_stem_data,2.6977,2.7724,80.0,,,,,
14417803_03558862_20150101_000000,Forestry Corporation Commercial Estate (NSW),NFSI_RG,229,2015-01-01,2015,144.178,-35.5886,0.1,1,32.2385,,,no_stem_data,10.245,14.1979,230.0,,,,,
14418830_03566229_20150101_000000,Forestry Corporation Commercial Estate (NSW),NFSI_RG,183,2015-01-01,2015,144.1883,-35.6623,0.1,1,13.1827,,,no_stem_data,3.937,6.9731,100.0,,,,,
14419051_03559940_20150101_000000,Forestry Corporation Commercial Estate (NSW),NFSI_RG,223,2015-01-01,2015,144.1905,-35.5994,0.1,1,79.1905,,,no_stem_data,23.1645,14.8468,280.0,,,,,
14420075_03567308_20150101_000000,Forestry Corporation Commercial Estate (NSW),NFSI_RG,175,2015-01-01,2015,144.2008,-35.6731,0.1,1,165.2773,,,no_stem_data,46.1291,19.1786,270.0,,,,,
