id,name,category,subtype,provider,coverage_scope,region,variable,units,representation,support_size,temporal_coverage,geometry_type,native_crs,coord_availability,coord_usability_tier,n_records_or_area,access,license,format,portal_url,doi,citation_short,verified,validation_caveats
france-ign-nfi,France NFI (IGN),in-situ-plot,nfi,IGN (Institut national de l'information geographique et forestiere),national,France (metropolitan),growing-stock-volume,m3/ha (+ tree DBH/height; AGB needs conversion),point-plot,concentric radii (6/9/15 m),continuous method since 2005 (annual; latest 2024),point,EPSG:2154 (RGF93 Lambert-93),public-fuzzed,aggregate,"~6,000 plots/yr",open (DataIFN),Etalab Open License v2.0,CSV / tables,https://inventaire-forestier.ign.fr/dataifn/?lang=en,,IGN NFI (DataIFN),2026-07-23,"Published node coordinates only; true plot within max 700 m -> aggregate scale, not strict pixel matching. Open raw data omit statistical weights (cannot reproduce official estimates); rotating panel = mostly single-visit; volume -> AGB conversion required."
spain-ifn,Spain Inventario Forestal Nacional (IFN),in-situ-plot,nfi,MITECO,national,Spain,growing-stock-volume,m3/ha (biomass/CO2 tables in later cycles),point-plot,concentric 5/10/15/25 m radii (up to ~0.2 ha),IFN1 1965-74 ... IFN4 2008-ongoing (~10 yr),point,"EPSG:23030 (ED50 UTM30, peninsula); EPSG:32628 (WGS84 UTM28, Canaries)",public-exact,pixel,"~90,000+ plots (1 km grid over forest)",open (MITECO Banco de Datos; datos.gob.es),open (Spanish public-sector reuse; attribute MITECO),MS Access .mdb per province + GIS,https://www.miteco.gob.es/en/biodiversidad/temas/inventarios-nacionales/inventario-forestal-nacional.html,,MITECO IFN,2026-07-23,Peninsula datum is ED50 -> MUST reproject to WGS84/ETRS89 (~200 m shift if ignored). Coordinate precision adequate for plot-level use but confirm per cycle; IFN4 incomplete for some provinces; volume -> AGB conversion required.
sweden-nfi,"Sweden NFI (Riksskogstaxeringen, SLU)",in-situ-plot,nfi,SLU (Swedish University of Agricultural Sciences),national,Sweden,growing-stock-volume,m3/ha (biomass derivable),point-plot,cluster 'tract' design,since 1923; annual with 5 yr remeasurement of permanent plots,point,EPSG:3006 (SWEREF99 TM),restricted,restricted,"~12,000 plots/yr",open (PXWeb stats + RS-validation subset) / data-request (exact coords),open data (SLU environmental data),"XLSX (subset), PXWeb API, GBIF",https://www.slu.se/en/environment/statistics-and-environmental-data/search-for-open-environmental-data/swedish-national-forest-inventory-sample-plot-data/,,SLU Swedish NFI,2026-07-23,"Exact plot coordinates confidential. An open RS-validation subset of temporary plots exists but is explicitly not for totals/averages, omits boundary plots, and its coordinate precision is undocumented -> verify before pixel-level use. Full coordinates require an SLU agreement."
finland-nfi,"Finland NFI (VMI, Luke) + MS-NFI",in-situ-plot,nfi,Luke (Natural Resources Institute Finland),national,Finland,AGB,"Mg/ha (field); 16 m biomass raster (MS-NFI, modeled)",point-plot,systematic cluster field plots,since 1921; MS-NFI rasters biennial (2005...2023),point,EPSG:3067 (ETRS-TM35FIN) for MS-NFI rasters,restricted,restricted,tens of thousands of field plots per cycle,open (MS-NFI rasters) / data-request (field plots + coords),CC-BY-4.0 (MS-NFI products),GeoTIFF (16 m); zipped municipality stats,https://kartta.luke.fi/index-en.html,,Luke VMI / MS-NFI,2026-07-23,"The open product is a MODEL-BASED raster (satellite + plots), NOT independent plot observations -> circular if validating a similar map. True in-situ plot validation requires restricted Luke data."
germany-bwi,"Germany NFI (Bundeswaldinventur, BWI)",in-situ-plot,nfi,Thuenen Institute / BMEL,national,Germany,growing-stock-volume,m3/ha (biomass/carbon derivable),point-plot,"angle-count (relascope) sampling, no fixed radius; 4 km grid",BWI1 1986-88 ... BWI4 2021-22 (~10 yr) + 2017 C-inventory,point,EPSG:4326 (1 km INSPIRE grid cell),public-fuzzed,aggregate,cluster points on 4x4 km grid (denser in some Laender),open (Web-API base data),open (German public-sector data),"Web-API (JSON), downloadable tables",https://bwi.info/,,Thuenen BWI,2026-07-23,"Public coordinates anonymized to 1 km INSPIRE grid -> pixel-level (10-30 m) validation impossible with public data. Angle-count design means no fixed plot radius, complicating footprint definition even with exact coords."
switzerland-lfi,"Switzerland NFI (LFI, WSL)",in-situ-plot,nfi,WSL with FOEN/BAFU,national,Switzerland,growing-stock-volume,m3/ha (biomass/carbon modeled),point-plot,concentric circles (200/500 m2),"LFI1 1983-85 ... LFI4 2009-17, continuous since (~9-10 yr)",point,EPSG:2056 (CH1903+ / LV95),restricted,restricted,"~6,500 forested plots (1.4 km grid)",open (aggregate results) / data-request (plots + coords),open aggregates; restricted microdata (agreement),web query tool; GIS aggregates,https://www.lfi.ch/en,,WSL LFI,2026-07-23,No public plot coordinates (Geoinformation Ordinance restricts plot data; sample integrity + privacy) -> pixel-level validation needs a WSL data agreement. See Schadauer et al. 2024 (New Phytologist).
norway-nfi,"Norway NFI (Landsskogtakseringen, NIBIO)",in-situ-plot,nfi,NIBIO (Norwegian Institute of Bioeconomy Research),national,Norway,growing-stock-volume,m3/ha (biomass/carbon reported),point-plot,250 m2 circular plots (0.025 ha),since 1919; permanent-plot grid since 1986-93; 5 yr remeasurement,point,EPSG:25833 (ETRS89 UTM33),restricted,restricted,3x3 km grid below tree line,open (SSB statistics) / data-request (plot microdata + coords),open aggregate statistics; restricted microdata,SSB stats API; plot data on request,https://www.nibio.no/en/about-eng/our-divisions/division-of-forest-and-forest-resources/national-forest-inventory,,NIBIO Landsskogtakseringen,2026-07-23,Exact plot coordinates not public -> pixel-level validation needs a NIBIO agreement. Within-plot tree coordinates exist but are part of the restricted microdata.
italy-infc,Italy NFI (INFC),in-situ-plot,nfi,Arma dei Carabinieri (CUFAA) with CREA,national,Italy,AGB,Mg/ha (biomass/carbon pools reported),point-plot,concentric 13/25 m radius,"INFC2005 (2002-07), INFC2015 (2013-15+), ongoing (~10 yr)",point,EPSG:32632/32633 (WGS84 UTM32/33),restricted,restricted,"~7,272 field plots (1 km grid)",registration (open raw tree data) / coords withheld,free EXCEPT compiling Italian forest statistics; mandatory citation,downloadable tables (registered users),https://www.inventarioforestale.org/en/,,INFC (inventarioforestale.org),2026-07-23,Rich biomass/carbon content but precise plot coordinates NOT distributed (plots located only by coarse/administrative reference) -> blocks pixel-level validation. Licensing forbids reuse for producing Italian forest statistics.
uk-nfi,United Kingdom NFI (Forest Research),in-situ-plot,nfi,Forest Research / Forestry Commission (GB),national,Great Britain,growing-stock-volume,m3/ha (field plots); polygons (woodland map),point-plot,1 km sample squares; woodland-map polygons >=0.5 ha,rolling since 2009; map updated annually; 5 yr field cycle,point,EPSG:27700 (OSGB36 British National Grid),restricted,restricted,field squares within NFI woodland map,open (woodland map polygons) / data-request (field plot subsets),Open Government Licence (woodland map),SHP/GeoJSON (map); tabular subsets on request,https://www.forestresearch.gov.uk/tools-and-resources/national-forest-inventory/,,Forest Research NFI,2026-07-23,"Open product is land-cover polygons, not biomass plots. Field-plot biomass/coordinate validation requires a data request; plot coordinates likely not released at full precision."
canada-nfi,Canada NFI,in-situ-plot,nfi,Canadian Forest Service (NRCan) + provinces (CCFM),national,Canada,AGB,"Mg/ha (biomass, allometric; also volume)",point-plot,ground plots (subsample); photo plots 2x2 km on 20 km grid,baseline 2000-2006; ground plots ~2007+; periodic remeasurement,point,EPSG:4326,public-fuzzed,aggregate,systematic 20x20 km national grid,open (generalized coords) / data-request (exact coords),Open Government Licence - Canada,"CSV/DB tables, data dictionary",https://open.canada.ca/data/en/dataset/824e684b-4114-4a05-a490-aa56332b57f4,,Canada NFI (NRCan/CCFM),2026-07-23,Open release carries GENERALIZED (grid) coordinates only -> precludes pixel matching; exact coords via NFI Data Request Form. MAGPlot aggregates 12 jurisdictions with heterogeneous protocols/coordinate policies.
poland-wisl,"Poland NFI (WISL, BULiGL)",in-situ-plot,nfi,Bureau for Forest Management and Geodesy (BULiGL) / State Forests,national,Poland,growing-stock-volume,m3/ha (biomass derivable),point-plot,clusters of 5 plots on 4 km grid,since 2005; 5 yr cycles,point,EPSG:2180 (PL-1992),restricted,restricted,"~7,000 plots/yr",open (BDL stand data/maps) / restricted (NFI plot coords),open for BDL public data,web portal / GIS (BDL),https://www.bdl.lasy.gov.pl/portal/en,,BULiGL WISL,2026-07-23,"NFI plot coordinates not publicly released (BDL offers stand-level data, not exact plot coords) -> pixel-level validation not feasible from open sources."
netherlands-nbi,"Netherlands NFI (NBI, WUR/Probos)",in-situ-plot,nfi,Wageningen University & Research with Probos,national,Netherlands,AGB,Mg/ha (biomass/wood-production emphasis),point-plot,nationwide sample plots,"NBI-6 (2012-13), NBI-7 (2017-22), NBI-8 (2022-26)",point,EPSG:28992 (Amersfoort / RD New),on-request,restricted,unknown,database download (Probos),unknown,downloadable measurement database,https://www.wur.nl/en/research/environmental/dutch-national-forest-inventory,,WUR/Probos NBI,2026-07-23,Coordinate availability/precision NOT confirmed in sources -> verify directly with Probos/WUR before pixel-level use.
sustainable-landscapes-brazil,Sustainable Landscapes Brazil airborne LiDAR (EMBRAPA/USFS),airborne-lidar-agb,research-campaign,US Forest Service + EMBRAPA; archived under NASA CMS at ORNL DAAC,national,"Brazil (Amazon, Cerrado, Atlantic Forest)",AGB,Mg/ha,transect-raster,1 ha AGB; 1 m CHM (~1 km2 sample tiles),2008-2018,raster,UTM (per tile),site-known,pixel,discrete ~1 km2 tiles/transects (NOT wall-to-wall),open (ORNL DAAC / EMBRAPA WebGIS),NASA Earthdata open,LAS point clouds; GeoTIFF,https://daac.ornl.gov/CMS/guides/LiDAR_Forest_Inventory_Brazil.html,,"dos-Santos, Keller et al. (Sustainable Landscapes Brazil)",2026-07-23,"Sample tiles, NOT a continuous reference map -> intersect per-axis and assert n>0. AGB model-derived from lidar metrics + local plots; wide 2008-2018 acquisition span risks year mismatch. Get extent from tile footprints, not site names. DOI unconfirmed - resolve on guide page."
afrisar-agb-maps-ornl1681,"AfriSAR AGB maps: Lope, Mabounie, Mondah, Rabi (Gabon)",airborne-lidar-agb,research-campaign,NASA (JPL/GSFC) with ESA; ORNL DAAC,regional,Gabon (4 sites),AGB,Mg/ha,wall-to-wall-raster,0.25 ha (50 m); 1 m CHM inputs,2010-2016 (AfriSAR core Feb-Mar 2016),raster,UTM (Gabon),site-known,pixel,4 small AOIs,open (NASA Earthdata / ORNL DAAC),NASA Earthdata open,GeoTIFF,https://daac.ornl.gov/cgi-bin/dsviewer.pl?ds_id=1681,10.3334/ORNLDAAC/1681,AfriSAR AGB Maps (ORNL 1681),2026-07-23,"Site-level AGB from allometry + lidar; only 4 small AOIs, some non-forest (savanna/disturbed) mixed in -> verify per-site footprint overlap with the map cell being validated."
afrisar-lvis-gridded-ornl1775,AfriSAR gridded forest biomass & canopy metrics from LVIS (Gabon),airborne-lidar-agb,research-campaign,NASA LVIS (GSFC); ORNL DAAC,regional,"Gabon (Lope, Mondah/Akanda, Pongara, Rabi, Mabounie)",AGB,Mg/ha (AGBD),wall-to-wall-raster,25 m (metrics); AGBD at 50 m and 100 m,Feb-Mar 2016,raster,UTM (Gabon),site-known,pixel,flight-swath rasters (AGBD at 3 of 5 sites),open (NASA Earthdata / ORNL DAAC),NASA Earthdata open,GeoTIFF,https://daac.ornl.gov/cgi-bin/dsviewer.pl?ds_id=1775,10.3334/ORNLDAAC/1775,AfriSAR LVIS Biomass/VProfiles (ORNL 1775),2026-07-23,AGBD only at 3 of 5 sites; full-waveform (LVIS) footprint differs from discrete lidar; AGB model calibrated on Gabon plots -> do not extrapolate outside Gabon forest types.
neon-aop,NEON Airborne Observation Platform (AOP) lidar / CHM,airborne-lidar-agb,research-campaign,NSF NEON (Battelle),national,"USA (81 NEON sites incl. AK, HI, PR)",canopy-structure,"m (CHM, DP3.30015.001); AGB user-derived",wall-to-wall-raster,1 m CHM (1 km site tiles),~2013-present (annual/periodic revisits),raster,per-site UTM (north-up warped),site-known,pixel,wall-to-wall per site AOI (few km2),open (NEON portal; Google Earth Engine),"NEON open (CC0-like, cite NEON)","GeoTIFF (raster), LAS/LAZ (point cloud)",https://data.neonscience.org,,NEON DP3.30015.001 (CHM),2026-07-23,"Ships structure, NOT AGB -> any AGB is your own allometric model (added uncertainty). 'Total biomass map' DP3.30016.001 is spectrometer-derived, not lidar-AGB. Small site AOIs; provisional vs released data differ."
g-liht,"NASA G-LiHT (Goddard LiDAR, Hyperspectral & Thermal)",airborne-lidar-agb,research-campaign,NASA Goddard Space Flight Center; LP DAAC,regional,"USA (incl. Alaska), Mexico, Central America, other campaign sites",canopy-structure,m (CHM) / >80 lidar metrics; AGB user-derived,transect-raster,~1 m gridded metrics (campaign swaths),~2011-present (repeat leaf-on campaigns),raster,UTM (per swath),site-known,pixel,narrow airborne swaths (sparse coverage),open (G-LiHT portal; Earthdata login for LP DAAC),NASA open,LAS 1.1; float GeoTIFF; ENVI; KML,https://gliht.gsfc.nasa.gov/,10.5067/COMMUNITY/GLIHT/GLLIDARPC.001,Cook et al. 2013 (Remote Sensing),2026-07-23,No official AGB layer -> biomass is user-modeled. Narrow swaths -> sparse coverage; match swath footprint and acquisition date to the map cell. Mixed product formats/orientations.
cms-lidar-agb-california-ornl1537,"NASA CMS LiDAR-derived AGB, California forests",airborne-lidar-agb,research-campaign,Xu & Greenberg (UC); NASA CMS / ORNL DAAC,regional,"California, USA (53 lidar survey areas)",AGB,Mg/ha,wall-to-wall-raster,~30 m,2005-2014,raster,UTM (California),site-known,pixel,53 discrete lidar footprints (not statewide),open (ORNL DAAC),NASA Earthdata open,GeoTIFF (~514 GB),https://daac.ornl.gov/cgi-bin/dsviewer.pl?ds_id=1537,10.3334/ORNLDAAC/1537,"Xu et al. (CMS California, ORNL 1537)",2026-07-23,"Coverage is 53 patches, not wall-to-wall CA -> assert overlap with target cells. Wide 2005-2014 acquisition window -> year mismatch risk. Individual-tree-crown allometry with commission/omission corrections."
cms-lidar-biomass-sonoma-ornl1523,"NASA CMS LiDAR-derived biomass/canopy, Sonoma County CA",airborne-lidar-agb,research-campaign,NASA CMS (Dubayah/Duncanson group); ORNL DAAC,regional,"Sonoma County, California, USA",AGB,Mg/ha,wall-to-wall-raster,30 m,2013,raster,UTM (California),site-known,pixel,county-wide raster,open (ORNL DAAC),NASA Earthdata open,GeoTIFF,https://daac.ornl.gov/cgi-bin/dsviewer.pl?ds_id=1523,10.3334/ORNLDAAC/1523,CMS Sonoma (ORNL 1523),2026-07-23,A separate 'improved for high-biomass forests' Sonoma product exists (guide Sonoma_County_Forest_AGB) - do not conflate. This parametric cover/height model underpredicts in tall redwood stands.
cms-forest-agb-nw-usa-ornl2443,"NASA CMS LiDAR-derived Forest AGB, Northwestern USA (V2)",airborne-lidar-agb,research-campaign,USFS/collaborators; NASA CMS / ORNL DAAC,regional,"WA, OR, ID, western MT, USA (176 lidar collections)",AGB,Mg/ha (live + standing-dead),wall-to-wall-raster,30 m,lidar 2002-2016 (V2),raster,UTM (PNW),site-known,pixel,"176 lidar collection footprints (3,805 field plots)",open (ORNL DAAC),NASA Earthdata open,GeoTIFF,https://daac.ornl.gov/cgi-bin/dsviewer.pl?ds_id=2443,10.3334/ORNLDAAC/2443,Forest AGB NW USA V2 (ORNL 2443; V1 1766),2026-07-23,"Random-forest model from lidar + climate + SRTM; NOT continuous regionwide (per-collection footprints). Broad 2002-2016 window. A companion Landsat-based annual product (2000-2016) is modeled, not direct lidar -> keep separate."
cms-lidar-agb-tristate-rggi,NASA CMS LiDAR-AGB: Tri-State (MD/PA/DE) & RGGI (NE USA),airborne-lidar-agb,research-campaign,NASA CMS / ORNL DAAC,regional,"MD/PA/DE; RGGI NE states (CT,DE,ME,MD,MA,NH,NJ,NY,PA,RI,VT)",AGB,Mg/ha,wall-to-wall-raster,30 m,various state lidar collections (~2010s),raster,UTM (per region),site-known,pixel,regional rasters,open (ORNL DAAC),NASA Earthdata open,GeoTIFF,https://daac.ornl.gov/CMS/guides/CMS_LiDAR_Biomass_MD_PA_DE.html,,CMS Tri-State / RGGI (ORNL),2026-07-23,V1/V2 versions exist for Tri-State - cite the version. Mixed state lidar vintages within one mosaic. DOIs unconfirmed - resolve on the ORNL guide pages (each has a 10.3334/ORNLDAAC/xxxx).
gao-peru-carbon,Global Airborne Observatory: Forest Carbon Stocks of Peru,airborne-lidar-agb,research-campaign,"Asner et al., Arizona State University (GAO); Peru MINAM",national,Peru (Andes + Amazon),AGC,MgC/ha,wall-to-wall-raster,1 ha (100 m),airborne lidar 2012 (mapping 2011-2013),raster,UTM (Peru),site-known,pixel,national map (lidar samples fused with satellite),open (Zenodo),CC-BY-4.0,GeoTIFF,https://zenodo.org/records/4626309,10.5281/zenodo.4626309,Asner et al. 2014 (PNAS),2026-07-23,"Units are CARBON (Mg C/ha), NOT biomass -> multiply by ~2.08 (divide by ~0.48) for AGB Mg/ha (silent factor-of-2 trap). Only sampled areas are true lidar; the rest is satellite-extrapolated. 2012 vintage -> mismatch with newer maps."
gao-sabah-carbon,"Global Airborne Observatory: Canopy Height & Carbon, Sabah (Borneo)",airborne-lidar-agb,research-campaign,"Asner, Brodrick, Heckler, Arizona State University (GAO)",regional,"Sabah, Malaysian Borneo (incl. Danum, Maliau, Imbak)",AGC,MgC/ha,wall-to-wall-raster,30 m,airborne lidar 2016,raster,UTM (Borneo),site-known,pixel,state-wide map (lidar + satellite fusion),open (Zenodo),CC-BY-4.0,GeoTIFF,https://zenodo.org/records/4549461,10.5281/zenodo.4549461,Asner et al. 2018 (Biological Conservation),2026-07-23,"ACD is CARBON, not biomass (same ~/0.48 conversion caveat). This is the state-wide GAO product; SAFE/Danum/Maliau plot networks are separate ground data. 2016 vintage."
safe-borneo-lidar,SAFE Project / Sabah Borneo airborne-lidar AGB,airborne-lidar-agb,research-campaign,SAFE Project (Imperial College/SEARRP); NERC; Jucker/Coomes/Asner,regional,"Sabah, Borneo (Danum, Maliau, SAFE landscape, oil palm)",AGC,MgC/ha or Mg/ha (product-dependent),mixed,~30 m grids + 1 ha plot network,lidar Nov 2014 (oil palm) and 2016 (GAO); plots ongoing,raster,UTM (Borneo),site-known,pixel,several acquisitions/providers,"open/registration (NERC EDS, Zenodo, SAFE data portal)",CC-BY-4.0 / NERC open (per record),GeoTIFF / LAS,https://zenodo.org/records/4549461,10.5281/zenodo.4549461,Jucker et al. 2018; GAO Sabah,2026-07-23,'SAFE Borneo AGB' spans several separate acquisitions and providers -> do NOT treat as one homogeneous layer. Carbon vs biomass unit confusion. Steep terrain degrades lidar ground detection at some Sabah sites.
paracou-french-guiana-als,Paracou / French Guiana airborne lidar (ALS) + AGB,airborne-lidar-agb,research-campaign,"CIRAD/IRD (Vincent), Univ. Cambridge (Jackson, Coomes); ESA TropiSAR",site,"French Guiana (Paracou ~10 km2, Nouragues)",canopy-structure,m (CHM); AGB Mg/ha from plots,wall-to-wall-raster,1 m CHM; 1 ha plot AGB (16 x 6.25 ha Paracou plots),ALS Nov 2019 (also 2004/2013/2015); TropiSAR 2009; plots since 1984,raster,UTM22N (French Guiana),site-known,pixel,~10 km2 AOI,open (CEDA registration; Zenodo),CEDA/NERC open; Zenodo CC-BY-4.0,LAS/LAZ; GeoTIFF (CHM),https://catalogue.ceda.ac.uk/uuid/1d554ff41c104491ac3661c6f6f52aab/,10.5285/1d554ff41c104491ac3661c6f6f52aab,"Jackson, Vincent, Coomes 2023 (ALS); CHM 10.5281/zenodo.10908679",2026-07-23,"CEDA/Zenodo products are point cloud + CHM, NOT AGB rasters -> AGB comes from the Paracou plot census + allometry (BIOMASS/Chave). Very small AOI (~10 km2). Confirm plot-to-lidar footprint and census-year alignment."
tern-auscover-supersites,TERN AusCover airborne LiDAR/hyperspectral SuperSites (Australia),airborne-lidar-agb,research-campaign,TERN with Airborne Research Australia (ARA),national,"Australia (9+ SuperSites, 5x5 km each)",AGB,Mg/ha (derived),wall-to-wall-raster,lidar ~0.3 m; product grid varies (5x5 km sites),~2012-present (per-site campaigns),raster,per-site UTM (MGA/GDA),site-known,pixel,9+ SuperSites (~25 km2 each),open (TERN Data Discovery Portal),CC-BY-4.0 (per record),LAS; GeoTIFF,https://portal.tern.org.au/,,TERN AusCover SuperSites,2026-07-23,AGB is a derived per-site product with Australian sclerophyll/savanna allometry (not comparable to tropical allometries). Small 25 km2 tiles; some sites are drone-lidar. Per-site DOIs not individually verified.
